Matrix,Schedule,Threads,ChunkSize,p90_Time_ms,p90_GFLOPs,Speedup,Efficiency
memchip.mtx,guided,2,64,30.330099999999998,1.1408969999999998,0.9640970521033562,48.20485260516781
memchip.mtx,guided,2,256,27.690949999999997,1.1394009999999999,1.055982550255589,52.79912751277946
memchip.mtx,guided,2,1024,31.67788,1.110201,0.9230781857876854,46.15390928938427
memchip.mtx,static,4,1,55.679,0.6066134000000001,0.5251739434975484,13.129348587438711
memchip.mtx,static,4,4,52.46954,0.6305023,0.5572978150751846,13.932445376879615
memchip.mtx,static,4,16,42.142419999999994,0.8007131000000001,0.6938652312800263,17.34663078200066
memchip.mtx,static,4,64,31.252999999999997,1.1265919999999998,0.9356272997792213,23.390682494480533
memchip.mtx,static,4,256,22.96647,1.6805750000000002,1.2732109026768152,31.83027256692038
memchip.mtx,static,4,1024,20.42224,2.057177,1.4318292214761947,35.79573053690487
memchip.mtx,dynamic,4,1,509.9465,0.06104909,0.057341623091834146,1.4335405772958536
memchip.mtx,dynamic,4,4,152.8914,0.24488799999999997,0.19125444596622176,4.781361149155544
memchip.mtx,dynamic,4,16,59.01604,0.5357911,0.4954781784748689,12.386954461871722
memchip.mtx,dynamic,4,64,32.90243,1.022836,0.8887234164771416,22.21808541192854
memchip.mtx,dynamic,4,256,23.89974,1.521,1.2234928078715501,30.587320196788752
memchip.mtx,dynamic,4,1024,21.406270000000003,1.735443,1.3660091178892912,34.15022794723228
memchip.mtx,guided,4,1,21.47917,1.9652749999999999,1.3613729022117709,34.034322555294274
memchip.mtx,guided,4,4,22.05386,1.855918,1.3258975979715115,33.14743994928779
memchip.mtx,guided,4,16,22.810200000000002,1.8699270000000001,1.2819335209686893,32.04833802421723
memchip.mtx,guided,4,64,21.93067,1.812492,1.3333454928645592,33.33363732161398
memchip.mtx,guided,4,256,22.442349999999998,1.8964189999999999,1.3029455471463551,32.57363867865888
memchip.mtx,guided,4,1024,21.712979999999998,1.844414,1.346713348421083,33.66783371052707
memchip.mtx,static,8,1,52.4774,0.6353752,0.5572143436984301,6.965179296230377
memchip.mtx,static,8,4,40.36725,0.8043554,0.7243783017173575,9.05472877146697
memchip.mtx,static,8,16,32.568329999999996,1.070705,0.8978403252484853,11.223004065606066
memchip.mtx,static,8,64,24.33665,1.425735,1.2015277369728374,15.019096712160469
memchip.mtx,static,8,256,19.194,2.043043,1.523453162446598,19.043164530582473
memchip.mtx,static,8,1024,17.288,2.460928,1.6914136973623324,21.142671217029154
memchip.mtx,dynamic,8,1,358.9484,0.08494195,0.08146340811102655,1.018292601387832
memchip.mtx,dynamic,8,4,112.0463,0.3247018,0.26097390096772494,3.2621737620965616
memchip.mtx,dynamic,8,16,40.45901,0.8150768,0.722735430253978,9.034192878174725
memchip.mtx,dynamic,8,64,25.61961,1.38411,1.141358514044515,14.266981425556438
memchip.mtx,dynamic,8,256,19.629179999999998,1.8975019999999998,1.4896781220611357,18.620976525764195
memchip.mtx,dynamic,8,1024,18.92833,2.0892269999999997,1.5448357039421863,19.310446299277327
memchip.mtx,guided,8,1,19.11859,2.264377,1.5294621622201219,19.118277027751525
memchip.mtx,guided,8,4,18.62662,2.0830879999999996,1.5698586216930395,19.623232771162993
memchip.mtx,guided,8,16,18.481869999999997,2.339725,1.5821537539220871,19.776921924026087
memchip.mtx,guided,8,64,18.02419,2.126077,1.6223286594293558,20.279108242866947
memchip.mtx,guided,8,256,17.067819999999998,2.156978,1.7132334416463266,21.415418020579082
memchip.mtx,guided,8,1024,17.437659999999997,2.3235409999999996,1.6768970148517637,20.961212685647045
memchip.mtx,static,16,1,46.45541,0.7028263,0.6294457416262175,3.9340358851638593
memchip.mtx,static,16,4,35.131299999999996,0.8743603999999999,0.8323392530307733,5.202120331442333
memchip.mtx,static,16,16,26.17498,1.3085449999999998,1.1171416367844407,6.982135229902754
memchip.mtx,static,16,64,22.74607,1.598113,1.2855477891345626,8.034673682091016
memchip.mtx,static,16,256,19.01126,2.1169540000000002,1.5380968962604267,9.613105601627666
memchip.mtx,static,16,1024,16.55895,2.516827,1.7658824985883768,11.036765616177355
memchip.mtx,dynamic,16,1,273.9674,0.11361979999999999,0.10673226084563346,0.6670766302852091
memchip.mtx,dynamic,16,4,76.31324000000001,0.4463008,0.38317282820124005,2.3948301762577504
memchip.mtx,dynamic,16,16,31.19567,1.1189310000000001,0.93734675357189,5.858417209824313
memchip.mtx,dynamic,16,64,22.4676,1.581893,1.301481244102619,8.134257775641368
memchip.mtx,dynamic,16,256,19.104210000000002,2.031557,1.5306134092956474,9.566333808097797
memchip.mtx,dynamic,16,1024,17.92633,2.220503,1.6311849664711071,10.194906040444419
memchip.mtx,guided,16,1,18.872239999999998,2.255648,1.549427095034824,9.683919343967649
memchip.mtx,guided,16,4,17.33547,2.350798,1.6867820716715496,10.542387947947185
memchip.mtx,guided,16,16,17.62961,2.309239,1.658639073694767,10.366494210592293
memchip.mtx,guided,16,64,17.628420000000002,2.368669,1.658751039514602,10.367193996966261
memchip.mtx,guided,16,256,19.150869999999998,2.094931,1.526884157221056,9.543025982631601
memchip.mtx,guided,16,1024,17.48742,2.309814,1.6721254478934,10.45078404933375
memchip.mtx,static,32,1,43.883500000000005,0.8093567,0.6663360944318479,2.082300295099525
memchip.mtx,static,32,4,30.78022,1.128286,0.9499984080685583,2.9687450252142447
memchip.mtx,static,32,16,25.54254,1.403724,1.1448023571657322,3.577507366142913
memchip.mtx,static,32,64,22.68163,1.624502,1.289200114806564,4.0287503587705125
memchip.mtx,static,32,256,25.53511,1.578123,1.1451354625063295,3.5785483203322794
memchip.mtx,static,32,1024,51.418060000000004,0.7567419,0.5686943459165904,1.7771698309893451
memchip.mtx,dynamic,32,1,217.9819,0.1463759,0.13414489918658384,0.4192028099580745
